UI Physical buttons  All off: 
2021-10-19T16:54:37.218011601+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:54:37.224393935+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:54:37.231005268+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:54:37.248065601+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T16:54:37.267456935+00:00 INFO zigbee-tuya-switch  Executing ZclClusterAttributeValueHandler: cluster: OnOff, attribute: OnOff
2021-10-19T16:54:37.274449601+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"on"},"attribute_id":"switch","component_id":"main"}
2021-10-19T16:54:37.369382268+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handledlistening for logs... \ Key 2 pressed (OFF):
2021-10-19T16:58:40.563737474+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
2021-10-19T16:58:40.574301807+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0C, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0xA0, rssi: -60, body_length: 0x0007, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x08, seqno: 0x69, ZCLCommandId: 0x0A >, < ReportAttribute || < AttributeRecord || AttributeId: 0x0000, DataType: Boolean, OnOff: false > > > >
2021-10-19T16:58:40.593496141+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:58:40.600386474+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:58:40.606585474+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:58:40.613372807+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:58:40.619369474+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T16:58:40.625124141+00:00 INFO zigbee-tuya-switch  Executing ZclClusterAttributeValueHandler: cluster: OnOff, attribute: OnOff
2021-10-19T16:58:40.631918807+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"off"},"attribute_id":"switch","component_id":"main"}
2021-10-19T16:58:40.650761474+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handledlistening for logs...

Key Main ON :
2021-10-19T17:10:46.171141604+00:00 TRACE zigbee-tuya-switch  Received event with handler capability
2021-10-19T17:10:46.181858604+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received command: {"command":"on","capability":"switch","args":[],"positional_args":[],"component":"main"}
2021-10-19T17:10:46.188772937+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:10:46.194729271+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:10:46.201133937+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:10:46.207142937+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:10:46.213646604+00:00 TRACE zigbee-tuya-switch  Found CapabilityCommandDispatcher handler in zigbee-tuya-switch
2021-10-19T17:10:46.227123937+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T17:10:46.552619937+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
2021-10-19T17:10:46.561297271+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0B, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x6C, rssi: -73, body_length: 0x0005, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x18, seqno: 0x7E, ZCLCommandId: 0x0B >, < DefaultResponse || cmd: 0x01, ZclStatus: SUCCESS > > >
2021-10-19T17:10:46.576121937+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:10:46.582388604+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:10:46.588424604+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:10:46.594728604+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:10:46.601604604+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T17:10:46.607353604+00:00 INFO zigbee-tuya-switch  Executing ZclGlobalCommandHandler: cluster: OnOff, command: DefaultResponse
2021-10-19T17:10:46.614586604+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"on"},"attribute_id":"switch","component_id":"main"}
2021-10-19T17:10:46.673633937+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T17:10:47.343070937+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
2021-10-19T17:10:47.354407271+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0B, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x78, rssi: -70, body_length: 0x0007, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x08, seqno: 0x4B, ZCLCommandId: 0x0A >, < ReportAttribute || < AttributeRecord || AttributeId: 0x0000, DataType: Boolean, OnOff: true > > > >
2021-10-19T17:10:47.371589604+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:10:47.380593271+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:10:47.386847937+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:10:47.393304604+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:10:47.399722604+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T17:10:47.405469937+00:00 INFO zigbee-tuya-switch  Executing ZclClusterAttributeValueHandler: cluster: OnOff, attribute: OnOff
2021-10-19T17:10:47.412407604+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"on"},"attribute_id":"switch","component_id":"main"}
2021-10-19T17:10:47.427973937+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handledlistening for logs... | Key Main OFF : 
2021-10-19T17:13:23.158298795+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee health poll
2021-10-19T17:13:27.241170462+00:00 TRACE zigbee-tuya-switch  Received event with handler capability
2021-10-19T17:13:27.285334462+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received command: {"command":"off","capability":"switch","args":[],"positional_args":[],"component":"main"}
2021-10-19T17:13:27.300047462+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:13:27.309789129+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:13:27.321679462+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:13:27.329683129+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:13:27.344541795+00:00 TRACE zigbee-tuya-switch  Found CapabilityCommandDispatcher handler in zigbee-tuya-switch
2021-10-19T17:13:27.375192795+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T17:13:27.453372795+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
2021-10-19T17:13:27.478643462+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0B, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x70, rssi: -72, body_length: 0x0005, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x18, seqno: 0x16, ZCLCommandId: 0x0B >, < DefaultResponse || cmd: 0x00, ZclStatus: SUCCESS > > >
2021-10-19T17:13:27.502209462+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:13:27.512822129+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:13:27.535370462+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:13:27.541889795+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:13:27.553521462+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T17:13:27.559485795+00:00 INFO zigbee-tuya-switch  Executing ZclGlobalCommandHandler: cluster: OnOff, command: DefaultResponse
2021-10-19T17:13:27.572260795+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"off"},"attribute_id":"switch","component_id":"main"}
2021-10-19T17:13:27.646232795+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T17:13:28.589797795+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
2021-10-19T17:13:28.676181796+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0B, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x70, rssi: -72, body_length: 0x0007, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x08, seqno: 0xEF, ZCLCommandId: 0x0A >, < ReportAttribute || < AttributeRecord || AttributeId: 0x0000, DataType: Boolean, OnOff: false > > > >
2021-10-19T17:13:28.779602462+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:13:28.796123796+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:13:28.865286462+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T17:13:28.897106129+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T17:13:28.903481129+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T17:13:28.954766462+00:00 INFO zigbee-tuya-switch  Executing ZclClusterAttributeValueHandler: cluster: OnOff, attribute: OnOff
2021-10-19T17:13:28.962214129+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"off"},"attribute_id":"switch","component_id":"main"}
